문항번호,문제,해설,답,이미지여부,동영상여부
922,다음 안전표지에 대한 설명으로 맞는 것은?<br>① 자전거도로에서 2대 이상 자전거의 나란히 통행을<br>허용한다.<br>② 자전거의 횡단도임을 지시한다.<br>③ 자전거만 통행하도록 지시한다.<br>④ 자전거 주차장이 있음을 알린다.,자전거의 나란히 통행을 허용하는 지시표지이다.,①,1,
923,다음 안전표지에 대한 설명으로 맞는 것은?<br>① 자전거횡단도 표지이다.<br>② 자전거우선도로 표지이다.<br>③ 자전거 및 보행자 겸용도로 표지이다.<br>④ 자전거 및 보행자 통행구분 표지이다.,자전거 및 보행자 겸용도로에서 자전거와 보행자를 구분하여 통<br>행하도록 지시하는 것,④,1,
924,다음 안전표지에 대한 설명으로 맞는 것은?<br>① 차가 양측 방향으로 통행할 것을 지시한다.<br>② 차가 좌회전･직진 또는 우회전할 것을 지시한다.<br>③ 차가 일방 통행할 것을 지시한다.<br>④ 차가 회전할 것을 지시한다.,차가 좌회전･직진 또는 우회전할 것을 지시하는 것,②,1,
925,다음 안전표지에 대한 설명으로 맞는 것은?<br>① 차가 회전 진행할 것을 지시한다.<br>② 차가 좌측면으로 통행할 것을 지시한다.<br>③ 차가 우측면으로 통행할 것을 지시한다.<br>④ 차가 유턴할 것을 지시한다.,우측면통행 지시표지이다.,③,1,
926,다음 안전표지에 대한 설명으로 맞는 것은?<br>① 차가 좌측면으로 통행할 것을 지시한다.<br>② 차가 회전 진행할 것을 지시한다.<br>③ 차가 우측면으로 통행할 것을 지시한다.<br>④ 차가 후진할 것을 지시한다.,좌측면통행 지시표지이다.,①,1,
927,다음 안전표지에 대한 설명으로 맞는 것은?<br>① 버스전용차로를 지시한다.<br>② 다인승전용차로를 지시한다.<br>③ 자전거 전용도로임을 지시한다.<br>④ 자동차 전용도로임을 지시한다.,자동차전용도로 지시표지이다.,④,1,
928,다음 안전표지에 대한 설명으로 맞는 것은?<br>① 자전거 주차장이 있음을 알린다.<br>② 자전거 전용도로임을 지시한다.<br>③ 자전거횡단도임을 지시한다.<br>④ 자전거 및 보행자 겸용도로임을 지시한다.,자전거 전용도로 또는 전용구간임을 지시하는 것,②,1,
929,다음 안전표지에 대한 설명으로 맞는 것은?<br>① 어린이 보호구역 안에서 어린이 또는 유아의 보호를<br>지시한다.<br>② 보행자가 횡단보도로 통행할 것을 지시한다.<br>③ 보행자 전용도로임을 지시한다.<br>④ 노인 보호구역 안에서 노인의 보호를 지시한다.,보행자전용도로 지시표지이다.,③,1,
930,다음 안전표지에 대한 설명으로 맞는 것은?<br>① 차가 직진 또는 우회전할 것을 지시한다.<br>② 차가 직진 또는 좌회전할 것을 지시한다.<br>③ 차가 유턴할 것을 지시한다.<br>④ 차가 우회도로로 통행할 것을 지시한다.,직진 및 좌회전 지시표지이다.,②,1,
931,다음 안전표지에 대한 설명으로 맞는 것은?<br>① 노약자 보호를 우선하라는 지시를 하고 있다.<br>② 보행자 전용도로임을 지시하고 있다.<br>③ 어린이보호를 지시하고 있다.<br>④ 보행자가 횡단보도로 통행할 것을 지시하고 있다.,보행자가 횡단보도로 통행할 것을 지시하고 있다.,④,1,
932,다음의 안전표지의 뜻으로 맞는 것은?<br>① 횡단보도를 통행하는 장애인을 보호할 것을 지시한다.<br>② 주택가 이면도로에서 어린이를 보호할 것을 지시한다.<br>③ 노인보호구역 안에서 노인의 보호를 지시한다.<br>④ 노인이 횡단보도로 통행할 것을 지시한다.,노인보호구역 안에서 노인의 보호를 지시한다.,③,1,
933,다음 중 도로교통법의 지시표지로 맞는 것은?<br>① ②<br>③ ④,"도로교통법 시행규칙 별표6 도로교통법의 안전표지에 해당하는 종류로는 주의표지, 지시표지,<br>규제표지, 보조표지 그리고 노면표시가 있다.",③,2,
934,다음 안전표지가 의미하는 것은?<br>① 우회전 표지<br>② 우로 굽은 도로 표지<br>③ 우회전 우선 표지<br>④ 우측방 우선 표지,우회전 지시표지이다.,①,1,
935,다음과 같은 교통안전 시설이 설치된 교차로에서의 통행방법 중 맞는 것은?<br>① 좌회전 녹색 화살표시가 등화된 경우에만<br>좌회전할 수 있다.<br>② 좌회전 신호 시 좌회전하거나 진행신호 시<br>반대 방면에서 오는 차량에 방해가 되지<br>아니하도록 좌회전할 수 있다.<br>③ 신호등과 관계없이 반대 방면에서 오는 차량에<br>방해가 되지 아니하도록 좌회전할 수 있다.<br>④ 황색등화 시 반대 방면에서 오는 차량에<br>방해가 되지 아니하도록 좌회전할 수 있다.,"도로교통법 제5조, 도로교통법 시행규칙 제6조, 도로교<br>통법 시행규칙 제8조 신호등의 좌회전 녹색 화살표시가<br>등화된 경우 좌회전할 수 있으며, 진행신호 시 반대 방<br>면에서 오는 차량에 방해가 되지 아니하도록 좌회전할<br>수 있다.",②,1,
936,다음 노면표시가 의미하는 것은?<br>① 운전자는 좌･우회전을 할 수 없다.<br>② 운전자는 좌우를 살피면서 운전해야 한다.<br>③ 운전자는 좌･우회전만 할 수 있다.<br>④ 운전자는 우회전만 할 수 있다.,좌우회전금지 노면표지이다.,①,1,
937,다음 노면표시가 의미하는 것은?<br>① 전방에 과속방지턱 또는 교차로에 오르막 경사면이<br>있다.<br>② 전방 도로가 좁아지고 있다.<br>③ 차량 두 대가 동시에 통행할 수 있다.<br>④ 산악지역 도로이다.,오르막경사면 노면표지로 전방에 오르막 경사면 또는 과속방지턱이 있음을 알리는 것,①,1,
938,다음 노면표시가 의미하는 것은?<br>① 유턴금지표시로 유턴할 수 없다.<br>② 유턴금지표시로 좌회전할 수 없다.<br>③ 통행금지표시로 직진할 수 없다.<br>④ 좌회전금지표시로 좌회전할 수 없다.,차마의 유턴을 금지하는 도로의 구간 또는 장소내의 필요한 지<br>점에 설치,①,1,
939,다음 상황에서 적색 노면표시에 대한 설명으로 맞는 것은?<br>① 차도와 보도를 구획하는 길가장자리 구역을 표시<br>하는 것<br>② 차의 차로변경을 제한하는 것<br>③ 보행자를 보호해야 하는 구역을 표시하는 것<br>④ 소방시설 등이 설치된 구역을 표시하는 것,도로교통법 시행규칙 별표6 노면표시516의3 소방시설 등이 설<br>치된 곳으로부터 각각 5미터 이내인 곳에서 신속한 소방 활동을<br>위해 특히 필요하다고 인정하는 곳에 정차･주차금지를 표시하는 것,④,1,
940,"다음과 같은 노면표시에 따른 운전방법으로 맞는 것은?<br>① 정차･주차금지를 표시하는 노면표시가 없으므로<br>정차･주차를 해도 된다.<br>② 서행해야 하는 노면표시가 있으므로 어린이 안전에<br>유의하며 서행해야 한다.<br>③ 주차금지를 표시하는 노면표시가 있고, 정차 금지를<br>표시하는 노면표시가 없으므로 정차를 한다.<br>④ 서행해야 하는 노면표시가 없으므로 상황에 따라<br>속도를 높이며 운전한다.","도로교통법 시행규칙 별표6 노면표시520 서행표시가 설치되어<br>있어 정차･주차금지를 표시하고 있고, 차가 서행하여야 할 곳을<br>표시하고 있다.",②,1,
941,다음 안전표지에 대한 설명으로 틀린 것은?<br>① 고원식횡단보도 표시이다.<br>② 볼록 사다리꼴과 과속방지턱 형태로 하며 높이는<br>10cm로 한다.<br>③ 운전자의 주의를 환기시킬 필요가 있는 지점에<br>설치한다.<br>④ 모든 도로에 설치할 수 있다.,제한속도를 시속 30킬로미터 이하로 제한할 필요가 있는 도로<br>에서 횡단보도임을 표시하는 것,④,1,
942,다음 안전표지에 대한 설명으로 맞는 것은?<br>① 전방에 안전지대가 있음을 알리는 것이다.<br>② 차가 양보하여야 할 장소임을 표시하는 것이다.<br>③ 전방에 횡단보도가 있음을 알리는 것이다.<br>④ 주차할 수 있는 장소임을 표시하는 것이다.,"횡단보도 전 50미터에서 60미터 노상에 설치, 필요할 경우에는<br>10미터에서 20미터를 더한 거리에 추가 설치",③,1,
943,다음 안전표지에 대한 설명으로 맞는 것은?<br>① 자전거 전용도로임을 표시하는 것이다.<br>② 자전거의 횡단도임을 표시하는 것이다.<br>③ 자전거주차장에 주차하도록 지시하는 것이다.<br>④ 자전거도로에서 2대 이상 자전거의 나란히 통행을<br>허용하는 것이다.,"도로에 자전거 횡단이 필요한 지점에 설치, 횡단보도가 있는 교<br>차로에서는 횡단보도 측면에 설치",②,1,
944,다음 안전표지에 대한 설명으로 맞는 것은?<br>① 차가 양보하여야 할 장소임을 표시하는 것이다.<br>② 차가 들어가 정차하는 것을 금지하는 표시이다.<br>③ 횡단보도임을 표시하는 것이다.<br>④ 노상에 장애물이 있음을 표시하는 것이다.,교차로나 합류도로 등에서 차가 양보하여야 하는 지점에 설치,①,1,
945,다음 안전표지에 대한 설명으로 맞는 것은?<br>① 차가 양보하여야 할 장소임을 표시하는 것이다.<br>② 노상에 장애물이 있음을 표시하는 것이다.<br>③ 차가 들어가 정차하는 것을 금지하는 것을 표시이다.<br>④ 주차할 수 있는 장소임을 표시하는 것이다.,광장이나 교차로 중앙지점 등에 설치된 구획부분에 차가 들어가<br>정차하는 것을 금지하는 표시이다.,③,1,
946,다음 안전표지의 의미로 맞는 것은?<br>① 자전거 우선도로 표시<br>② 자전거 전용도로 표시<br>③ 자전거 횡단도 표시<br>④ 자전거 보호구역 표시,도로교통법 시행규칙 별표6 5. 노면표시 535의2 자전거 우선<br>도로 표시,①,1,
947,다음 차도 부문의 가장자리에 설치된 노면표시의 설명으로 맞는 것은?<br>① 정차를 금지하고 주차를 허용한 곳을 표시하는 것<br>② 정차 및 주차금지를 표시하는 것<br>③ 정차를 허용하고 주차금지를 표시하는 것<br>④ 구역･시간･장소 및 차의 종류를 정하여 주차를<br>허용할 수 있음을 표시하는 것,"도로교통법 시행규칙 별표6, 노면표시516, 도로교통법 제32조에 따라 정차 및 주차금지를<br>표시하는 것",②,1,
948,다음 안전표지의 의미로 맞는 것은?<br>① 교차로에서 좌회전하려는 차량이 다른 교통에<br>방해가 되지 않도록 적색등화 동안 교차로 안에서<br>대기하는 지점을 표시하는 것<br>② 교차로에서 좌회전하려는 차량이 다른 교통에<br>방해가 되지 않도록 황색등화 동안 교차로 안에서<br>대기하는 지점을 표시하는 것<br>③ 교차로에서 좌회전하려는 차량이 다른 교통에<br>방해가 되지 않도록 녹색등화 동안 교차로 안에서<br>대기하는 지점을 표시하는 것<br>④ 교차로에서 좌회전하려는 차량이 다른 교통에<br>방해가 되지 않도록 적색 점멸등화 동안 교차로<br>안에서 대기하는 지점을 표시하는 것,도로교통법 시행규칙 별표6 5. 노면표시 525의2번 좌회전 유도<br>차로 표시,③,1,
949,다음 안전표지의 의미로 맞는 것은?<br>① 갓길 표시<br>② 차로변경 제한선 표시<br>③ 유턴 구역선 표시<br>④ 길 가장자리 구역선 표시,도로교통법 시행규칙 별표6 5. 노면표시 505번 길가장자리<br>구역선 표시,④,1,
950,다음 노면표시의 의미로 맞는 것은?<br>① 전방에 교차로가 있음을 알리는 것<br>② 전방에 횡단보도가 있음을 알리는 것<br>③ 전방에 노상장애물이 있음을 알리는 것<br>④ 전방에 주차금지를 알리는 것,도로교통법 시행규칙 별표6 5. 노면표시 529번 횡단보도 예고<br>표시,②,1,
951,다음 안전표지의 뜻으로 맞는 것은?<br>① 최저 속도 제한을 해제<br>② 최고 속도 매시 50킬로미터의 제한을 해제<br>③ 50미터 앞부터 속도 제한을 해제<br>④ 차간거리 50미터를 해제,최고 속도 매시 50킬로미터의 제한을 해제하는 것을 의미한다.,②,1,
952,다음 안전표지의 뜻으로 맞는 것은?<br>① 30미터 앞부터 속도 제한을 해제<br>② 최고 속도 제한을 해제<br>③ 차간거리 30미터 제한을 해제<br>④ 최저 속도 제한을 해제,최저 속도 매시 30킬로미터의 제한을 해제하는 것을 의미한다.,④,1,
953,"다음 안전표지가 의미하는 것은?<br>① 중앙분리대 시작<br>② 양 측방 통행<br>③ 1.5km 전방 공사로 인해 1,2차로 통행 차단<br>④ 노상 장애물 있음",전방 공사 중임을 사전에 미리 알려주는 것,③,1,
954,다음 안전표지의 뜻으로 가장 옳은 것은?<br>① 자동차와 이륜자동차는 08:00~20:00 통행을 금지<br>② 자동차와 이륜자동차 및 원동기장치자전거는 08:00<br>~20:00 통행을 금지<br>③ 자동차와 원동기장치자전거는 08:00~20:00 통행을<br>금지<br>④ 자동차와 자전거는 08:00~20:00 통행을 금지,자동차와 이륜자동차 및 원동기장치자전거의 통행을 지정된 시<br>간에 금지하는 것을 의미한다.,②,1,
955,다음 안전표지에 대한 설명으로 맞는 것은?<br>① 주차금지장소에 주차한 자동차를 견인하는 지역임을<br>표시한다.<br>② 주차금지장소에 주차할 수 있는 지역임을 표시한다.<br>③ 정차 및 주차가능 장소임을 표시한다.<br>④ 정차 및 주차금지 장소임을 표시한다.,주차금지 지역과 견인지역임을 의미한다.,①,1,
956,다음 안전표지에 대한 설명으로 맞는 것은?<br>① 적색 신호 시 좌회전할 것을 지시한다.<br>② 유턴을 금지하는 것이다.<br>③ 모든 신호에 유턴할 것을 지시한다.<br>④ 적색 신호 시 유턴할 것을 지시한다.,적색 신호 시에 유턴할 수 있음을 의미한다.,④,1,
957,"다음 안전표지에 대한 설명으로 맞는 것은?<br>① 일요일, 공휴일만 버스전용차로 통행 차만 통행할<br>수 있음을 알린다.<br>② 일요일, 공휴일을 제외하고 버스전용차로 통행 차만<br>통행할 수 있음을 알린다.<br>③ 모든 요일에 버스전용차로 통행 차만 통행할 수<br>있음을 알린다.<br>④ 일요일, 공휴일을 제외하고 모든 차가 통행할 수<br>있음을 알린다.",지정된 날을 제외하고 버스전용차로 통행 차만 통행할 수 있음을 의미한다.,②,1,
958,다음 안전표지가 의미하는 것은?<br>① 중앙분리대 시작<br>② 전방 2km 앞 공사 중<br>③ 전방 400m 앞 3차로 차단 중<br>④ 노상 장애물 있음,도로교통법 시행규칙 별표6<br>전방 공사장으로 차로가 감소함을 알려주는 의미,③,1,
959,다음 안전표지에 대한 설명으로 맞는 것은?<br>① 평일에 06:00~22:00 안전표지부터 160미터 까지<br>주차할 수 있다.<br>② 공휴일에 06:00~22:00 안전표지부터 160미터 까지<br>주차할 수 있다.<br>③ 평일에는 시간에 상관없이 주차할 수 있다.<br>④ 공휴일에는 시간에 상관없이 주차할 수 있다.,지정된 시간에 지정된 거리까지 주차할 수 있음을 의미한다.,②,1,
960,다음 도로명판에 대한 설명으로 맞는 것은?<br>① 왼쪽과 오른쪽 양 방향용 도로명판이다.<br>② “1→” 이 위치는 도로 끝나는 지점이다.<br>③ 강남대로는 699미터이다.<br>④ “강남대로”는 도로이름을 나타낸다.,강남대로의 넓은 길 시작점을 의미하며 “1→” 이 위치는 도로의 시작점을 의미하고 강남대<br>로는 6.99킬로미터를 의미한다.,④,1,
961,다음 안전표지에 대한 설명으로 맞는 것은?<br>① 일방통행인 어린이 보호구역을 알리는 표지<br>② 좌측에 어린이 보호구역이 있다는 표지<br>③ 우측에 어린이 보호구역이 있다는 표지<br>④ 어린이 보호구역으로 통행을 금지하는 표지,우측에 어린이 보호구역이 있다는 표지,③,1,
962,다음 안전표지에 대한 설명으로 맞는 것은?<br>① 100미터 앞부터 도로가 없어짐<br>② 100미터 앞부터 도로 폭이 넓어짐<br>③ 100미터 앞부터 우측 도로 폭이 좁아짐<br>④ 100미터 앞부터 도로 폭이 좁아짐,100미터 앞부터 도로 폭이 좁아짐,④,1,
963,다음 중 관공서용 건물번호판은?<br>① ② ③ ④,"1번과 2번은 일반용 건물번호판이고, 3번은 문화재 및 관광용 건물번호판, 4번은 관공서용<br>건물번호판이다.(도로명 주소 안내시스템 http://www.juso.go.kr)",④,2,
964,"다음 건물번호판에 대한 설명으로 맞는 것은?<br>① 평촌길은 도로명, 30은 건물번호이다.<br>② 평촌길은 주 출입구, 30은 기초번호이다.<br>③ 평촌길은 도로시작점, 30은 건물주소이다.<br>④ 평촌길은 도로별 구분기준, 30은 상세주소이다.",,①,1,
965,다음 3방향 도로명 예고표지에 대한 설명으로 맞는 것은?<br>① 좌회전하면 300미터 전방에 시청이<br>나온다.<br>② ‘관평로’는 북에서 남으로 도로구간이<br>설정되어 있다.<br>③ 우회전하면 300미터 전방에 평촌역이<br>나온다.<br>④ 직진하면 300미터 전방에 ‘관평로’가<br>나온다.,"도로구간은 서→동, 남→북으로 설정되며, 도로<br>의 시작지점에서 끝지점으로 갈수록 건물번호가<br>커진다.",④,1,
966,다음 영상에서 예측되는 가장 위험한 상황은?(홈페이지 참조)<br>① 좌로 굽은 도로를 지날 때 반대편 차가 미끄러져 중앙선을 넘어올 수 있다.<br>② 좌로 굽은 도로를 지날 때 우측에 정차한 차가 갑자기 출발할 수 있다.<br>③ 좌로 굽은 도로를 지날 때 원심력에 의해 미끄러져 중앙선을 넘어갈 수<br>있다.<br>④ 우로 굽은 도로를 지날 때 반대편 차가 원심력에 의해 중앙선을 넘어올<br>수 있다.,눈이 오는 등 도로가 결빙된 경우 자신의 차가 미끄러지지 않는 것도 중요하지만 다른 차가<br>미끄러질 수 있다는 것도 감안하며 운전하지 않으면 안 된다. 특히 영상에서와 같이 반대편<br>차가 원심력에 의해 미끄러져 중앙선을 침범할 수 있는 상황에 놓이지 않도록 하여야 한다.,①,,1
967,다음 영상에서 예측되는 가장 위험한 상황은?(홈페이지 참조)<br>① 1차로를 주행 중 2차로 주행 차가 속도를 줄일 경우 충돌할 수 있다.<br>② 1차로를 주행 중 앞차가 급차로 변경을 할 때 반대편 차와 충돌할 수 있다.<br>③ 1차로를 주행 중 1차로에 고장 난 차와 충돌할 수 있다.<br>④ 2차로를 주행 중 1차로로 차로 변경하는 앞차와 추돌할 수 있다.,안전거리를 유지해야 하는 이유는 앞차와의 추돌사고를 예방하기 위한 것도 있지만 자신의<br>차가 정지할 수 있는 공간을 항상 확보하며 운전한다는데 더 큰 의미가 있다. 영상에서와 같<br>이 안전거리를 유지하지 않는 운전자세로 인해 자신의 차가 정지할 수 있는 공간 안에 장애<br>물(고장차)가 있다는 것을 모르고 운전을 하게 되는 것이다.,③,,1
968,다음 영상에서 예측되는 가장 위험한 상황은?(홈페이지 참조)<br>① 1차로를 주행 중인 차량이 갑자기 속도를 줄인다.<br>② 3차로 후방에서 주행하던 차가 전방 3차로에 주차한 차를 피해 내 차<br>앞으로 급차로 변경할 수 있다.<br>③ 교차로에 이르기 전 1차로에서 좌회전 신호 대기 중이던 차가 갑자기<br>직진할 수 있다.<br>④ 교차로를 지나 1차로를 주행 중인 차량이 무인 단속 카메라를 발견하고<br>갑자기 속도를 줄인다.,옆의 차로에서 주행하던 차가 내 차로로 들어오려고 할 때 속도를 줄여 적극적으로 넣어주려<br>는 경우는 많지 않다. ‘알아서 들어오든지 위험하면 들어오지 말든지’하는 태도인데 영상의<br>경우처럼 전방에 주차한 차를 피하려는 경우는 무리한 차로변경을 시도할 수 있다는 것을<br>생각하고 반드시 속도를 줄여 무리한 차로변경에 대비하여야 한다.,②,,1
969,다음 중 어린이보호구역에서 횡단하는 어린이를 보호하기 위해 도로교통법규를<br>준수하는 차는?(홈페이지 참조)<br>① 붉은색 승용차 ② 흰색 화물차<br>③ 청색 화물차 ④ 주황색 택시,"도로교통법 제27조(보행자보호), 도로교통법 제49조(모든 운전자의 준수사항 등)<br>어린이보호구역에서는 어린이가 언제 어느 순간에 나타날지 몰라 속도를 줄이고 서행하여야<br>한다. 갑자기 나타난 어린이로 인해 앞차 급제동하면 뒤따르는 차가 추돌할 수 있기 때문에<br>안전거리를 확보하여야 한다. 어린이 옆을 통과할 때에는 충분한 간격을 유지하면서 반드시<br>서행하여야 한다.",③,,1
970,다음 영상에서 예측되는 가장 위험한 상황은?(홈페이지 참조)<br>① 우측 버스 정류장에서 휴대 전화를 사용하고 있는 사람<br>② 커브 구간을 지날 때 반대편 도로 가장자리로 주행하는 이륜차<br>③ 반대편 도로에서 좌회전을 하려는 트랙터<br>④ 커브 구간을 지나자마자 반대편 도로에서 우회전하려는 차,좌회전하려는 트랙터 운전자의 입장에서는 도로가 커브길이라 반대편에 차가 오는 것을 미<br>리 확인하기 어려운 상황이었다. 하지만 당장 가까이 오는 차가 없다 보니 좌회전을 할 수<br>있다고 판단하였다. 그러나 반대편 직진차가 나타났을 때 직진차의 속도가 예상보다 빠를 경<br>우 사고가 발생할 수 있다. 따라서 타인이 예측한 것보다 빠른 속도로 운행하는 것은 교통사<br>고의 중요한 요인이라는 것을 알아야 한다.,③,,1
971,다음 영상에서 예측되는 가장 위험한 상황은?(홈페이지 참조)<br>① 1차로로 차로 변경 할 때 출발하려는 2차로에 정차 중인 차<br>② 좌회전할 때 반대편 1차로에서 좌회전하는 대형 화물차<br>③ 좌회전할 때 반대편 도로의 대형 화물차와 승합차 사이에서 달려 나오는<br>이륜차<br>④ 좌회전을 완료하는 순간 반대편 1차로에서 신호 대기 중인 차,비보호좌회전은 타인이 예측하기 어려운 행동이다. 반대편 차의 입장에서는 직진신호이므로<br>당연히 직진차만 예측하게 마련이다. 뿐만 아니라 비보호 좌회전하는 차의 운전자 역시 반대<br>편 2개차로 중에 1차로는 좌회전하려는 차이고 두 개차로 정차한 차가 있으므로 직진차가<br>없다고 판단하게 된다. 그러나 이륜차의 경우 두 개 차로의 사이로 나올 수 있다는 것도 예측<br>하며 운전하여야 한다.,③,,1
972,다음 중 교차로에서 횡단하는 보행자 보호를 위해 도로교통법규를 준수하는<br>차는?(홈페이지 참조)<br>① 갈색 SUV차 ② 노란색 승용차 ③ 주홍색 택시 ④ 검정색 승용차,"도로교통법 제27조(보행자의 보호) 제2항, 도로교통법 시행규칙 별표2(신호기가 표시하는<br>신호의 종류 및 신호의 뜻)<br>보행 녹색신호를 지키지 않거나 신호를 예측하여 미리 출발하는 보행자에 주의하여야 한다.<br>보행 녹색신호가 점멸할 때 갑자기 뛰기 시작하여 횡단하는 보행자에 주의하여야 한다. 우회<br>전할 때에는 횡단보도에 내려서서 대기하는 보행자가 말려드는 현상에 주의하여야 한다. 우회<br>전할 때 반대편에서 직진하는 차량에 주의하여야 한다.",④,,1
973,다음 영상에서 예측되는 가장 위험한 상황은?(홈페이지 참조)<br>① 화물차의 미등 및 반사체 등이 잘 보이지 않아 추돌할 수 있다.<br>② 화물차가 1차로로 차로를 변경할 경우 충돌할 수 있다.<br>③ 고장 난 차를 피해 2차로로 차로를 변경할 때 1차로를 주행하는 차와<br>충돌할 수 있다.<br>④ 고장 난 차를 피해 2차로로 차로를 변경하여 주행 중 견인차가 갑자기<br>출발할 경우 충돌할 수 있다.<br>,,①,,1
974,다음 영상에서 예측되는 가장 위험한 상황은?(홈페이지 참조)<br>① 첫 번째 교차로를 통과할 때 반대편 1차로의 차가 직진할 수 있다.<br>② 전방에 녹색 신호를 보고 교차로를 빠르게 통과하다 물이 고인 곳에서<br>미끄러질 수 있다.<br>③ 공사 구간 2차로를 주행 중 1차로를 주행 중인 차가 갑자기 좌측 차로로<br>차로변경 한다.<br>④ 두 번째 교차로에서 우회전 후 전방 2차로의 차가 도로우측에 주차할 수<br>있다.,교차로를 통과할 때는 대부분의 운전자들이 속도를 높이는 등 서두는 경향이 있다. 또한 신<br>호가 바뀐다거나 돌발적인 위험을 만나 급제동을 해야 하는 상황에 직면하기도 하는데 영상<br>에서와 같이 비가 와서 노면에 물이 고인 상황에서는 수막현상이나 편제동에 의해 미끄러지<br>는 상황이 발생할 수 있다는 것을 생각하여야 한다.,②,,1
975,다음 영상에서 예측되는 가장 위험한 상황은?(홈페이지 참조)<br>① 전방에 사고 난 차를 피하려다 중앙분리대를 넘어갈 수 있다.<br>② 전방에 사고 난 차를 피하려다 2차로의 전방 차량과 충돌할 수 있다<br>③ 2차로 주행 중 3차로에서 내 차 앞으로 급하게 변경하는 차와 충돌할 수<br>있다.<br>④ 3차로로 주행 중 커브 구간에서 원심력에 의해 2차로로 주행하는 차와<br>충돌할 수 있다.<br>,,③,,1
976,다음 영상에서 예측되는 가장 위험한 상황은?(홈페이지 참조)<br>① 교차로에서 우회전하기 위해 1차로에서 2차로로 차로변경 하는 순간<br>1차로에서 좌회전 대기 중 유턴할 수 있는 차<br>② 교차로에서 우회전할 때 반대편 1차로에서 좌회전할 수 있는 맨 앞차<br>③ 교차로에서 우회전하였을 때 2차로에서 역주행하는 이륜차<br>④ 교차로에서 우회전하여 주행 중 2차로에 주차하고 있던 차량에서 갑자기<br>출발할 수 있는 맨 앞차,도로에서는 다양한 위험을 예측하여야 하는데 영상에서와 같이 역주행하는 이륜차가 있을<br>수 있다는 것을 생각하며 운전하여야 한다.,③,,1
977,다음 영상에서 예측되는 가장 위험한 상황은?(홈페이지 참조)<br>① 빠른 속도로 내리막 커브 구간을 통과할 때 원심력에 의해 우측 방호벽을<br>충돌할 수 있다.<br>② 내리막 커브 구간을 지나 앞지르기할 때 우측으로 방향을 바꾸던 앞차가<br>정지할 수 있다.<br>③ 앞서 가던 차가 무인 단속 카메라를 보고 급제동할 수 있다.<br>④ 무인 단속 카메라를 보고 속도를 줄이는 앞차를 앞지르기할 때 반대편<br>도로의 차가 속도를 줄일 수 있다.,앞차와의 안전거리를 유지하지 않는 이유 중에 하나가 앞차가 급제동하지 않을 것이라는 낙<br>관적인 예측 때문이다. 그러나 영상에서와 같이 앞차의 전방에 아무런 장애물이 없어 급제동<br>하지 않을 것이라는 생각을 하기 쉬운데 예기치 못한 이유로 급제동하는 상황이 발생할 수<br>있다는 것을 생각하고 대비하여야 한다.,③,,1
978,다음 영상에서 예측되는 가장 위험한 상황은?(홈페이지 참조)<br>① 1차로에서 주행하는 검은색 승용차가 차로변경을 할 수 있다.<br>② 승객을 하차시킨 버스가 후진 할 수 있다.<br>③ 1차로의 승합자동차가 앞지르기 할 수 있다.<br>④ 이면도로에서 우회전하는 승용차와 충돌 할 수 있다.,이면도로 등 우측 도로에서 진입하는 차량들과 충돌 할 수 있기 때문에 교통사고에 유의하며<br>운행하여야 한다.,④,,1
979,다음 영상에서 예측되는 가장 위험한 상황은?(홈페이지 참조)<br>① 2차로를 주행 중인 택시가 갑자기 좌측 차로로 차로변경을 할 수 있다.<br>② 1차로에서 주행하고 있는 오토바이와 충돌 할 수 있다.<br>③ 반대편 차로에서 좌회전 하는 오토바이와 충돌 할 수 있다.<br>④ 인도에 있는 보행자가 갑자기 무단횡단을 할 수 있다.,오토바이의 경우 사각지대에서 잘 보이지 않기 때문에 유의하며 진행한다.,②,,1
980,다음 영상에서 예측되는 가장 위험한 상황은?(홈페이지 참조)<br>① 2차로에 승객을 태우기 위해 정차중인 시내버스<br>② 문구점 앞에서 아이를 안고 있는 보행자<br>③ 주차구역 내에 일렬로 주차 되어 있는 승용차<br>④ 주차구역 주변에서 장난을 치고 있는 어린이들,어린이들의 경우 좌우를 확인하지 못하고 움직이는 경향이 있으므로 어린이들의 갑작스러운<br>행동에 대비하는 운전습관이 필요하다.,④,,1
981,교차로에서 직진하려고 한다. 이 때 가장 주의해야 할 차는?(홈페이지 참조)<br>① 반대편에서 우회전하는 연두색 차<br>② 내차 앞에서 우회전하는 흰색 화물차<br>③ 좌측도로에서 우회전하는 주황색 차<br>④ 우측도로에서 우회전하는 검정색 차,"도로교통법 제25조(교차로 통행방법) 도로교통법 시행규칙 별표2(신호기가 표시하는 신호의<br>종류 및 신호의 뜻)<br>◦교차로에 진입할 때는 전방주시를 잘하고, 교차로 전체의 차와 이륜차, 자전거, 보행자<br>등의 움직임을 확인하면서 서행으로 진입하되, 전방신호 변경에 대비하여야 한다.<br>◦특히, 직진할 때는 우회전하는 차와 만날 수 있기 때문에 우회전하는 차의 움직임을 잘<br>살펴야 한다.",④,,1
